,Statement,Link,Date,Source,Label
0,Says that “the way to reach ‘herd immunity’ is for >70% of the population to get vaccinated.”,https://www.politifact.com/factchecks/2021/jan/15/jon-rosenthal/examining-how-science-determines-covid-19s-herd-im/,"uary 15, 2021",Jon Rosenthal,mostly-true
1,“Antifa is the culprit” in the Capitol riot.,https://www.politifact.com/factchecks/2021/jan/15/amanda-chase/amanda-chase-pushes-bogus-theory-antifa-conspiracy/,"uary 15, 2021",Amanda Chase,pants-fire
2,"""It takes quite a while on Election Day to load those ballots, which is why we have the 1 a.m. or 3 a.m. ballot dumping in Milwaukee.""",https://www.politifact.com/factchecks/2021/jan/15/devin-lemahieu/yes-slow-absentee-count-explains-supposed-ballot-d/,"uary 15, 2021",Devin LeMahieu,true
3,“Coronavirus vaccinations seem to be causing 50 times the adverse events of flu vaccinations after just the first of two shots.”,https://www.politifact.com/factchecks/2021/jan/15/facebook-posts/claim-comparing-adverse-events-covid-19-flu-vaccin/,"uary 15, 2021",Facebook posts,barely-true
4,A photo shows Democratic lawmakers wearing clothing and masks with the Nazi swastika.,https://www.politifact.com/factchecks/2021/jan/15/viral-image/group-democratic-lawmakers-didnt-wear-clothing-mas/,"uary 15, 2021",Viral image,pants-fire
5,"“It wasn’t all women that lost jobs (in the December jobs report), it was mostly Black and Latina women. In fact, white women gained employment.”",https://www.politifact.com/factchecks/2021/jan/15/sarah-godlewski/black-and-latina-women-carried-brunt-job-loss-dece/,"uary 15, 2021",Sarah Godlewski,true
6,"Photo shows Rep. Lauren Boebert with Capitol rioters before she gave them a tour of the building ""one day before the insurrection.""",https://www.politifact.com/factchecks/2021/jan/14/facebook-posts/viral-photo-shows-lauren-boebert-colorado-not-us-c/,"uary 14, 2021",Facebook posts,false
7,Antifa provoked the shooting of Ashli Babbitt at the Capitol.,https://www.politifact.com/factchecks/2021/jan/14/blog-posting/no-evidence-antifa-incited-ashli-babbitt-shooting/,"uary 14, 2021",Bloggers,pants-fire
8,Says Rep. Pramila Jayapal was not wearing a mask in Congress during the U.S. Capitol mob.,https://www.politifact.com/factchecks/2021/jan/14/facebook-posts/image-pramila-jayapal-without-mask-out-context/,"uary 14, 2021",Facebook posts,barely-true
9,"“There were several states where outside actors dramatically changed the rules of the road, so to speak, two weeks out, one week out, on how elections would be run.”",https://www.politifact.com/factchecks/2021/jan/14/chris-jacobs/jacobs-overstates-election-issues/,"uary 13, 2021",Chris Jacobs,barely-true
10,"The effort to recall California Gov. Gavin Newsom is ""a coup.""",https://www.politifact.com/factchecks/2021/jan/14/rusty-hicks/no-efforts-recall-california-gov-newsom-are-not-co/,"uary 13, 2021",Rusty Hicks,pants-fire
11,Says President Trump has ordered the military to take over “major corrupt cities” to stay in office and that U.S. citizens will receive emergency alerts on their devices.,https://www.politifact.com/factchecks/2021/jan/13/facebook-posts/dont-fall-rumors-about-trump-led-military-takeover/,"uary 13, 2021",Facebook posts,pants-fire
12,The second presidential impeachment of Donald Trump was “the most bipartisan impeachment in American history.”,https://www.politifact.com/factchecks/2021/jan/13/jake-tapper/how-bipartisan-was-vote-impeach-donald-trump-histo/,"uary 13, 2021",Jake Tapper,true
13,"Says Alexandria Ocasio-Cortez tweeted, “Let’s begin ‘The Purge’ to roundup all Conservative traitors.”",https://www.politifact.com/factchecks/2021/jan/13/viral-image/no-aoc-didnt-tweet-about-purging-conservative-trai/,"uary 13, 2021",Viral image,pants-fire
14,“Republicans have no way to communicate” after tech companies cut off Parler.,https://www.politifact.com/factchecks/2021/jan/13/devin-nunes/nunes-falsely-claims-republicans-have-no-way-commu/,"uary 13, 2021",Devin Nunes,false
15,"Says Joe Biden is on video ""admitting to"" election fraud in a ""confession.""",https://www.politifact.com/factchecks/2021/jan/12/greg-kelly/newsmax-host-recycles-out-context-clip-call-joe-bi/,"uary 12, 2021",Greg Kelly,false
16,"“The U.S. Department of State … released a statement on their website stating that Donald J. Trump's term ended” on Jan. 11, 2021.",https://www.politifact.com/factchecks/2021/jan/12/facebook-posts/no-state-department-didnt-issue-statement-saying-t/,"uary 12, 2021",Facebook posts,barely-true
17,Nancy Pelosi is no longer the Speaker of the House,https://www.politifact.com/factchecks/2021/jan/12/facebook-posts/pelosi-still-speaker-house-viral-video-shows-stand/,"uary 12, 2021",Facebook posts,false
18,NPR posted a story about the Capitol breach before it happened.,https://www.politifact.com/factchecks/2021/jan/12/viral-image/no-npr-didnt-write-about-capitol-breach-it-happene/,"uary 12, 2021",Viral image,false
19,"A second impeachment means Donald Trump loses his lifetime pension, travel allowance, Secret Service detail, and his ability to run for public office.",https://www.politifact.com/factchecks/2021/jan/11/facebook-posts/fact-checking-viral-post-about-impeachment-and-tru/,"uary 11, 2021",Facebook posts,barely-true
20,Says Mike Pence changed “his Twitter banner photo to Biden and Harris.”,https://www.politifact.com/factchecks/2021/jan/11/viral-image/no-pence-didnt-change-his-twitter-photo-image-bide/,"uary 11, 2021",Viral image,false
21,"Summer “protesters outside the White House were met with tear gas, rubber bullets, a full militarized response. While ... rioters were able to breach the Capitol.”",https://www.politifact.com/factchecks/2021/jan/11/sherrod-brown/black-lives-matter-protests-faced-more-militarized/,"uary 11, 2021",Sherrod Brown,true
22,Video shows man upset because he was added to the no-fly list for storming the Capitol.,https://www.politifact.com/factchecks/2021/jan/11/facebook-posts/no-isnt-video-capitol-rioter-upset-because-hes-no-/,"uary 11, 2021",Facebook posts,false
23,"Before COVID-19, “more Iowans (were) working than at any other time in our state history.""",https://www.politifact.com/factchecks/2021/jan/11/kim-reynolds/pre-pandemic-iowa-had-largest-workforce-state-hist/,"uary 11, 2021",Kim Reynolds,true
24,"""Trump signs Insurrection Act - General Flynn to be appointed vice president.""",https://www.politifact.com/factchecks/2021/jan/11/blog-posting/theres-no-evidence-trump-has-invoked-insurrection-/,"uary 11, 2021",Bloggers,false
25,"Says Pope Francis “was arrested Saturday in connection with an 80-count indictment of charges including possession of child pornography, human trafficking, incest, possession of drug paraphernalia and felony fraud.”",https://www.politifact.com/factchecks/2021/jan/11/conservative-beaver/no-pope-francis-has-not-been-arrested/,"uary 11, 2021",Conservative Beaver,pants-fire
26,Says Nancy Pelosi sent a letter to Portland’s mayor after demonstrations there “urging him to stick to the proven Democratic Play book.”,https://www.politifact.com/factchecks/2021/jan/11/viral-image/no-nancy-pelosi-didnt-send-letter-ted-wheeler/,"uary 11, 2021",Viral image,false
27,Says left-wing activist John Sullivan “incited (the) insurgence of (the) US Capitol.”,https://www.politifact.com/factchecks/2021/jan/09/facebook-posts/facebook-posts-wrongly-claim-left-wing-activist-an/,"nuary 8, 2021",Facebook posts,barely-true
28,“The DC looting was staged” by antifa,https://www.politifact.com/factchecks/2021/jan/08/jonathan-wichmann/no-capitol-insurrection-was-not-staged-antifa/,"nuary 8, 2021",Jonathan Wichmann,pants-fire
29,An image shows National Guard at the Capitol during the Black Lives Matter protests in D.C.,https://www.politifact.com/factchecks/2021/jan/08/facebook-posts/photo-shows-national-guard-lincoln-memorial-not-ca/,"nuary 8, 2021",Facebook posts,barely-true
